season,match_number,round_number,home_team,away_team,group,home_goals,away_goals,goal_difference_home,result_90min,match_winner,knockout_aggregate,knockout_winner
2022-23,118,10,Chelsea,Real Madrid,,0.0,2.0,-2.0,A,Real Madrid,4-5,Dortmund
2022-23,119,10,Bayern,Man City,,1.0,1.0,0.0,D,Draw,4-4,Man City
2022-23,120,10,Inter,Benfica,,3.0,3.0,0.0,D,Draw,2-3,Bayern
2022-23,121,11,Real Madrid,Man City,,1.0,1.0,0.0,D,Draw,2-2,Real Madrid
2022-23,122,11,Milan,Inter,,0.0,2.0,-2.0,A,Inter,1-0,Dortmund
2022-23,123,12,Inter,Milan,,1.0,0.0,1.0,H,Inter,2-0,Dortmund
2022-23,124,12,Man City,Real Madrid,,4.0,0.0,4.0,H,Man City,3-4,Real Madrid
2022-23,125,13,Man City,Inter,,1.0,0.0,1.0,H,Man City,,
2023-24,1,1,Milan,Newcastle,Group F,0.0,0.0,0.0,D,Draw,,
2023-24,2,1,Young Boys,Leipzig,Group G,1.0,3.0,-2.0,A,Leipzig,,
2023-24,3,1,Feyenoord,Celtic,Group E,2.0,0.0,2.0,H,Feyenoord,,
2023-24,4,1,Lazio,Atlético de Madrid,Group E,1.0,1.0,0.0,D,Draw,,
2023-24,5,1,Paris,Dortmund,Group F,2.0,0.0,2.0,H,Paris,,
2023-24,6,1,Man City,Crvena zvezda,Group G,3.0,1.0,2.0,H,Man City,,
2023-24,7,1,Barcelona,Antwerp,Group H,5.0,0.0,5.0,H,Barcelona,,
2023-24,8,1,Shakhtar Donetsk,FC Porto,Group H,1.0,3.0,-2.0,A,FC Porto,,
2023-24,9,1,Galatasaray,Copenhagen,Group A,2.0,2.0,0.0,D,Draw,,
2023-24,10,1,Real Madrid,Union Berlin,Group C,1.0,0.0,1.0,H,Real Madrid,,
2023-24,11,1,Bayern,Man United,Group A,4.0,3.0,1.0,H,Bayern,,
2023-24,12,1,Sevilla,Lens,Group B,1.0,1.0,0.0,D,Draw,,
2023-24,13,1,Arsenal,PSV,Group B,4.0,0.0,4.0,H,Arsenal,,
2023-24,14,1,Braga,Napoli,Group C,1.0,2.0,-1.0,A,Napoli,,
2023-24,15,1,Real Sociedad,Inter,Group D,1.0,1.0,0.0,D,Draw,,
2023-24,16,1,Benfica,Salzburg,Group D,0.0,2.0,-2.0,A,Salzburg,,
2023-24,17,2,Union Berlin,Braga,Group C,2.0,3.0,-1.0,A,Braga,,
2023-24,18,2,Salzburg,Real Sociedad,Group D,0.0,2.0,-2.0,A,Real Sociedad,,
2023-24,19,2,Man United,Galatasaray,Group A,2.0,3.0,-1.0,A,Galatasaray,,
2023-24,20,2,Copenhagen,Bayern,Group A,1.0,2.0,-1.0,A,Bayern,,
2023-24,21,2,Lens,Arsenal,Group B,2.0,1.0,1.0,H,Lens,,
2023-24,22,2,PSV,Sevilla,Group B,2.0,2.0,0.0,D,Draw,,
2023-24,23,2,Napoli,Real Madrid,Group C,2.0,3.0,-1.0,A,Real Madrid,,
2023-24,24,2,Inter,Benfica,Group D,1.0,0.0,1.0,H,Inter,,
2023-24,25,2,Atlético de Madrid,Feyenoord,Group E,3.0,2.0,1.0,H,Atlético de Madrid,,
2023-24,26,2,Antwerp,Shakhtar Donetsk,Group H,2.0,3.0,-1.0,A,Shakhtar Donetsk,,
2023-24,27,2,Celtic,Lazio,Group E,1.0,2.0,-1.0,A,Lazio,,
2023-24,28,2,Dortmund,Milan,Group F,0.0,0.0,0.0,D,Draw,,
2023-24,29,2,Newcastle,Paris,Group F,4.0,1.0,3.0,H,Newcastle,,
2023-24,30,2,Leipzig,Man City,Group G,1.0,3.0,-2.0,A,Man City,,
2023-24,31,2,Crvena zvezda,Young Boys,Group G,2.0,2.0,0.0,D,Draw,,
2023-24,32,2,FC Porto,Barcelona,Group H,0.0,1.0,-1.0,A,Barcelona,,
2023-24,33,3,Galatasaray,Bayern,Group A,1.0,3.0,-2.0,A,Bayern,,
2023-24,34,3,Inter,Salzburg,Group D,2.0,1.0,1.0,H,Inter,,
2023-24,35,3,Man United,Copenhagen,Group A,1.0,0.0,1.0,H,Man United,,
2023-24,36,3,Sevilla,Arsenal,Group B,1.0,2.0,-1.0,A,Arsenal,,
2023-24,37,3,Lens,PSV,Group B,1.0,1.0,0.0,D,Draw,,
2023-24,38,3,Braga,Real Madrid,Group C,1.0,2.0,-1.0,A,Real Madrid,,
2023-24,39,3,Union Berlin,Napoli,Group C,0.0,1.0,-1.0,A,Napoli,,
2023-24,40,3,Benfica,Real Sociedad,Group D,0.0,1.0,-1.0,A,Real Sociedad,,
2023-24,41,3,Feyenoord,Lazio,Group E,3.0,1.0,2.0,H,Feyenoord,,
2023-24,42,3,Barcelona,Shakhtar Donetsk,Group H,2.0,1.0,1.0,H,Barcelona,,
